task,representation,degree_bucket,n_test,AUC,PR_AUC,BalAcc
renewed_4y,KG,0,6756,0.6083080798394006,0.9129110891130344,0.5012722646310432
renewed_4y,KG,1-2,1614,0.6309254618026547,0.9212418424635869,0.5
renewed_4y,KG,3-5,341,0.542550839964633,0.9096659635833537,0.5
renewed_4y,KG,6-10,114,0.8035714285714286,0.99576317355156,0.5
renewed_4y,KG,11+,90,0.13793103448275862,0.9350912342377193,0.5
renewed_4y,TEXT,0,6756,0.5801005664454588,0.9057945631029314,0.5012722646310432
renewed_4y,TEXT,1-2,1614,0.6129360438132369,0.9118237855612521,0.5026455026455027
renewed_4y,TEXT,3-5,341,0.49436339522546424,0.8985046699526743,0.5172413793103449
renewed_4y,TEXT,6-10,114,0.7857142857142857,0.9956687778449269,0.5
renewed_4y,TEXT,11+,90,0.3448275862068966,0.9355703250910742,0.5
renewed_4y,HYBRID,0,6756,0.6209191632462567,0.9176893727202817,0.5019083969465649
renewed_4y,HYBRID,1-2,1614,0.6447229184071289,0.9190516214634148,0.5026455026455027
renewed_4y,HYBRID,3-5,341,0.5171308576480991,0.9155181460897958,0.5344827586206896
renewed_4y,HYBRID,6-10,114,0.8526785714285714,0.9971378079505675,0.5
renewed_4y,HYBRID,11+,90,0.3103448275862069,0.9315933321673854,0.5
is_triadic,KG,0,6756,0.7360653087543167,0.51337146492005,0.579972174352685
is_triadic,KG,1-2,1614,0.7873677070078829,0.5507806954535636,0.5990336859706239
is_triadic,KG,3-5,341,0.7620534165799514,0.4826972143871252,0.6362007168458782
is_triadic,KG,6-10,114,0.7811447811447811,0.5962807948110215,0.5606060606060606
is_triadic,KG,11+,90,0.8302364864864864,0.6409996420228723,0.53125
is_triadic,TEXT,0,6756,0.7048798381752676,0.4661701755449882,0.531490586403993
is_triadic,TEXT,1-2,1614,0.7706705437325688,0.5155213099226605,0.5392693343818118
is_triadic,TEXT,3-5,341,0.7876633136778818,0.4884019678486016,0.5654121863799283
is_triadic,TEXT,6-10,114,0.8226711560044894,0.693308164780567,0.5909090909090909
is_triadic,TEXT,11+,90,0.7115709459459458,0.4365934456592977,0.5625
is_triadic,HYBRID,0,6756,0.7593485656922958,0.5401047000108716,0.576987420297793
is_triadic,HYBRID,1-2,1614,0.8213798869285127,0.6014356027905751,0.6093622068166942
is_triadic,HYBRID,3-5,341,0.8133310209272748,0.5693606302334466,0.6362007168458782
is_triadic,HYBRID,6-10,114,0.8488589599700711,0.6637659811163843,0.5606060606060606
is_triadic,HYBRID,11+,90,0.7728040540540541,0.4044891685447922,0.5489864864864865
